Sample	Chromosome	Start.bp	End.bp	Num.Markers	Seg.CN
TCGA-02-0001-01C-01D-0182-01	1	3218610	74911597	40417	0.000000
TCGA-02-0001-01C-01D-0182-01	1	74916565	75377480	270	-0.314940
TCGA-02-0001-01C-01D-0182-01	1	75377891	247812431	88336	0.000000
TCGA-02-0001-01C-01D-0182-01	2	484222	56988632	33121	0.352218
TCGA-02-0001-01C-01D-0182-01	2	56995224	57092101	37	0.573332
TCGA-02-0001-01C-01D-0182-01	2	57095576	74577397	10092	-0.433766
TCGA-02-0001-01C-01D-0182-01	2	74581710	74615862	16	0.276845
TCGA-02-0001-01C-01D-0182-01	2	74620493	74690378	31	-0.444261
TCGA-02-0001-01C-01D-0182-01	2	74693984	74759557	23	0.000000
TCGA-02-0001-01C-01D-0182-01	2	74759779	111409671	14866	0.437861
TCGA-02-0001-01C-01D-0182-01	2	111411198	121008933	4856	0.000000
TCGA-02-0001-01C-01D-0182-01	2	121009365	121198802	86	0.538866
TCGA-02-0001-01C-01D-0182-01	2	121199707	126609336	2548	0.000000
TCGA-02-0001-01C-01D-0182-01	2	126609672	127744886	704	0.618715
TCGA-02-0001-01C-01D-0182-01	2	127748784	242476062	64848	0.000000
TCGA-02-0001-01C-01D-0182-01	3	2212571	103091271	55672	0.000000
TCGA-02-0001-01C-01D-0182-01	3	103097120	133871403	17973	-0.405615
TCGA-02-0001-01C-01D-0182-01	3	133873102	197538677	32664	0.000000
TCGA-02-0001-01C-01D-0182-01	4	1053934	188763651	102695	0.000000
TCGA-02-0001-01C-01D-0182-01	5	914233	1288661	54	0.338203
TCGA-02-0001-01C-01D-0182-01	5	1288694	1428514	69	-0.406918
TCGA-02-0001-01C-01D-0182-01	5	1890233	5080435	2622	0.354140
TCGA-02-0001-01C-01D-0182-01	5	5081568	8684165	2831	-0.404537
TCGA-02-0001-01C-01D-0182-01	5	8685784	142488305	71285	0.000000
TCGA-02-0001-01C-01D-0182-01	5	142489477	144690609	1383	-0.386826
TCGA-02-0001-01C-01D-0182-01	5	144690775	180360469	22209	0.000000
TCGA-02-0001-01C-01D-0182-01	6	1014281	170903919	96416	0.000000
TCGA-02-0001-01C-01D-0182-01	7	708774	158385118	81259	0.000000
TCGA-02-0001-01C-01D-0182-01	8	617667	48813137	25248	0.000000
TCGA-02-0001-01C-01D-0182-01	8	48814587	52718478	2097	-0.392042
TCGA-02-0001-01C-01D-0182-01	8	52728485	145232496	54158	0.000000
TCGA-02-0001-01C-01D-0182-01	9	789932	21882134	13407	0.000000
TCGA-02-0001-01C-01D-0182-01	9	21887380	22118749	157	-1.066509
TCGA-02-0001-01C-01D-0182-01	9	22118857	22137685	21	-1.213101
TCGA-02-0001-01C-01D-0182-01	9	22138105	22259604	74	-1.066509
TCGA-02-0001-01C-01D-0182-01	9	22266091	28140215	3658	-0.760006
TCGA-02-0001-01C-01D-0182-01	9	28146981	140938752	50571	0.000000
TCGA-02-0001-01C-01D-0182-01	10	415240	135225087	80757	0.000000
TCGA-02-0001-01C-01D-0182-01	11	456120	50050722	30496	0.000000
TCGA-02-0001-01C-01D-0182-01	11	50051296	58858898	1593	0.436145
TCGA-02-0001-01C-01D-0182-01	11	58859620	134140152	45114	0.000000
TCGA-02-0001-01C-01D-0182-01	12	889902	120942065	68208	0.000000
TCGA-02-0001-01C-01D-0182-01	12	120946122	122320334	674	-0.390961
TCGA-02-0001-01C-01D-0182-01	12	122320400	124360117	779	0.000000
TCGA-02-0001-01C-01D-0182-01	12	124364724	124495725	86	-0.402833
TCGA-02-0001-01C-01D-0182-01	12	124499542	124515092	9	-0.752897
TCGA-02-0001-01C-01D-0182-01	12	124517900	124559202	27	-0.402833
TCGA-02-0001-01C-01D-0182-01	12	124561803	133155338	4040	0.000000
TCGA-02-0001-01C-01D-0182-01	13	19450806	19529558	46	0.000000
TCGA-02-0001-01C-01D-0182-01	13	19533776	19634890	90	-0.208957
TCGA-02-0001-01C-01D-0182-01	13	19643178	46348250	16775	0.000000
TCGA-02-0001-01C-01D-0182-01	13	46351731	87310102	22143	-0.633392
TCGA-02-0001-01C-01D-0182-01	13	87310230	87462376	73	0.000000
